bairro,area,quartos,banheiros,vagas,hospital,gas_station,school,supermarket,restaurant,pharmacy,preco
Santo Antônio,112,2,1,2,1,0,1,1,1,1,300000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,125,0,0,0,1,1,1,1,1,1,115000
Área Rural de Lorena,1320,1,1,0,0,0,0,0,0,0,150000
Bairro da Cruz,70,2,1,1,1,1,1,1,1,1,400000
Vila Geny,83,3,2,1,1,1,1,1,1,1,670000
Santo Antônio,48,2,2,1,1,0,1,1,1,1,199990
Vila Hepacare,53,2,1,1,1,1,1,1,1,1,299000
Vila Geny,67,2,1,0,1,1,1,1,1,1,480000
Bairro da Cruz,60,1,1,0,1,1,1,1,1,1,530000
Vila Passos,75,2,2,2,1,1,1,1,1,1,340000
Vila Nunes,99,2,1,1,1,1,1,1,1,1,320000
Parque Mondesir,576,0,0,0,1,1,1,1,1,0,290000
Cidade Industrial,54,2,1,1,1,1,1,1,1,1,187000
Centro,350,3,3,0,1,1,1,1,1,1,750000
Centro,1650,3,4,0,1,1,1,1,1,1,1200000
Parque Mondesir,523,0,0,0,1,1,1,1,1,0,300000
Bairro da Cruz,5000,2,1,0,1,1,1,1,1,1,748000
Bairro da Cruz,120,3,2,2,1,1,1,1,1,1,466000
Bairro da Cruz,141,1,1,2,1,1,1,1,1,1,380000
Nova Lorena,258,3,3,2,1,1,1,1,1,1,570000
Jardim Novo Horizonte,84700,2,1,0,1,1,1,1,1,0,500000
Cidade Industrial,360,3,2,0,1,1,1,1,1,1,495000
Área Rural de Lorena,22000,2,1,2,0,0,0,0,0,0,320000
Nova Lorena,160,2,3,0,1,1,1,1,1,1,550000
Cidade Industrial,137,2,2,2,1,1,1,1,1,1,340000
Santo Antônio,126,2,3,6,1,0,1,1,1,1,450000
Vila Hepacare,47,2,1,10,1,1,1,1,1,1,350000
Vila Nunes,64,2,1,1,1,1,1,1,1,1,370000
Vila São Roque,300,5,5,4,1,1,1,1,1,1,1050000
Vila Nunes,180,3,1,1,1,1,1,1,1,1,480000
Nova Lorena,192,3,1,1,1,1,1,1,1,1,320000
Residencial Vila Rica,183,0,0,0,1,0,1,1,1,1,100000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Centro,722,0,0,0,1,1,1,1,1,1,350000
Centro,1500,2,0,5,1,1,1,1,1,1,650000
Loteamento Village das Palmeiras,72,0,0,0,1,1,1,1,1,1,159000
Cidade Industrial,210,0,0,0,1,1,1,1,1,1,170000
Bairro da Cruz,272,3,2,2,1,1,1,1,1,1,730000
Cidade Industrial,130,2,1,2,1,1,1,1,1,1,299000
Vila Passos,297,0,0,0,1,1,1,1,1,1,320000
Bairro da Cruz,124,3,4,2,1,1,1,1,1,1,1650000
Parque das Rodovias,87,2,2,2,1,1,1,1,1,0,385000
Centro,250,3,4,1,1,1,1,1,1,1,499000
Bairro da Cruz,450,3,1,0,1,1,1,1,1,1,330000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,360,3,1,2,1,1,1,1,1,1,450000
Loteamento Village das Palmeiras,205,0,0,0,1,1,1,1,1,1,210000
Bairro da Cruz,450,0,0,0,1,1,1,1,1,1,300000
Centro,330,3,2,2,1,1,1,1,1,1,1250000
Parque Mondesir,149,3,1,2,1,1,1,1,1,0,435000
Área Rural de Lorena,3668,1,1,0,0,0,0,0,0,0,270000
Cidade Industrial,150,2,1,2,1,1,1,1,1,1,330000
Loteamento Village das Palmeiras,153,3,2,2,1,1,1,1,1,1,910000
Bairro da Cruz,300,0,0,0,1,1,1,1,1,1,355000
Parque Mondesir,491,0,0,0,1,1,1,1,1,0,290000
Vila Nunes,112,3,2,2,1,1,1,1,1,1,450000
Centro,330,0,0,0,1,1,1,1,1,1,299000
Bairro da Cruz,750,0,0,0,1,1,1,1,1,1,607000
Residencial Vila Rica,193,0,0,0,1,0,1,1,1,1,105000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Vila Passos,280,2,2,1,1,1,1,1,1,1,279000
Bairro da Cruz,375,3,1,2,1,1,1,1,1,1,550000
Bairro da Cruz,150,0,0,0,1,1,1,1,1,1,130000
Vila Nunes,140,3,3,2,1,1,1,1,1,1,480000
Cidade Industrial,202,4,3,4,1,1,1,1,1,1,600000
Vila Passos,214,3,2,5,1,1,1,1,1,1,350000
Aterrado,49,2,1,1,1,0,1,1,1,1,190000
Vila São Roque,90,2,2,1,1,1,1,1,1,1,240000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Cidade Industrial,202,4,3,4,1,1,1,1,1,1,600000
Vila Passos,214,3,2,5,1,1,1,1,1,1,350000
Aterrado,49,2,1,1,1,0,1,1,1,1,190000
Vila São Roque,90,2,2,1,1,1,1,1,1,1,240000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,1000,1,2,0,1,1,1,1,1,1,740000
Bairro da Cruz,1000,0,0,0,1,1,1,1,1,1,600000
Bairro da Cruz,250,3,1,0,1,1,1,1,1,1,450000
Parque Mondesir,506,0,0,0,1,1,1,1,1,0,340000
Cidade Industrial,115,2,2,1,1,1,1,1,1,1,399000
Parque Mondesir,368,0,0,0,1,1,1,1,1,0,270000
Bairro da Cruz,900,0,0,0,1,1,1,1,1,1,424000
Centro,232,0,0,0,1,1,1,1,1,1,145000
Loteamento Village das Palmeiras,352,0,0,0,1,1,1,1,1,1,308000
Olaria,232,3,1,1,1,1,1,1,1,1,395000
Vila Hepacare,360,4,2,2,1,1,1,1,1,1,450000
Bairro da Cruz,187,3,1,0,1,1,1,1,1,1,440000
Vila Nunes,283,3,2,4,1,1,1,1,1,1,895000
Centro,48400,3,3,0,1,1,1,1,1,1,800000
Parque das Rodovias,69,2,1,0,1,1,1,1,1,0,247500
Vila Geny,67,2,1,1,1,1,1,1,1,1,480000
Centro,300,3,1,4,1,1,1,1,1,1,1000000
Vila Nunes,300,1,1,4,1,1,1,1,1,1,250000
Bairro da Cruz,280,6,4,3,1,1,1,1,1,1,720000
Bairro da Cruz,400,2,2,3,1,1,1,1,1,1,399000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Vila Nunes,64,2,2,1,1,1,1,1,1,1,370000
Parque Mondesir,239,3,2,4,1,1,1,1,1,0,730000
Olaria,200,4,2,2,1,1,1,1,1,1,390000
Vila Hepacare,312,0,3,0,1,1,1,1,1,1,650000
Bairro da Cruz,72,2,2,1,1,1,1,1,1,1,370000
Santo Antônio,50,2,1,1,1,0,1,1,1,1,220000
Vila Geny,124,3,1,5,1,1,1,1,1,1,450000
Bairro da Cruz,506,0,0,1,1,1,1,1,1,1,340000
Olaria,110,2,3,2,1,1,1,1,1,1,560000
Vila Geny,78,2,1,1,1,1,1,1,1,1,280000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Parque Mondesir,180,3,2,0,1,1,1,1,1,0,1300000
Santo Antônio,211,4,3,3,1,0,1,1,1,1,450000
Parque Mondesir,206300,0,0,0,1,1,1,1,1,0,6500000
Área Rural de Lorena,107,0,0,0,0,0,0,0,0,0,18000000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Centro,190,3,1,2,1,1,1,1,1,1,795000
Bairro da Cruz,300,2,1,1,1,1,1,1,1,1,450000
Vila Hepacare,158,3,1,1,1,1,1,1,1,1,450000
Bairro da Cruz,2280,0,0,0,1,1,1,1,1,1,450000
Santo Antônio,60,2,2,2,1,0,1,1,1,1,400000
Bairro da Cruz,300,4,1,4,1,1,1,1,1,1,980000
Bairro da Cruz,750,0,0,0,1,1,1,1,1,1,900000
Santo Antônio,112,3,1,0,1,0,1,1,1,1,215000
Loteamento Village das Palmeiras,153,3,3,2,1,1,1,1,1,1,920000
Santo Antônio,115,1,2,10,1,0,1,1,1,1,250000
Aterrado,1520,3,6,9,1,0,1,1,1,1,900000
Vila Passos,86,2,1,1,1,1,1,1,1,1,500000
Loteamento Village das Palmeiras,353,0,0,0,1,1,1,1,1,1,372000
Vila Portugal,16250,4,3,10,0,0,0,0,1,0,2800000
Bairro da Cruz,450,2,1,4,1,1,1,1,1,1,730000
Parque Mondesir,360,0,0,0,1,1,1,1,1,0,320000
Santo Antônio,51,2,1,1,1,0,1,1,1,1,200000
Jardim Novo Horizonte,210,0,0,0,1,1,1,1,1,0,100000
Vila Nunes,201,3,3,4,1,1,1,1,1,1,550000
Vila Passos,732,0,0,0,1,1,1,1,1,1,330000
Vila Nunes,64,2,2,1,1,1,1,1,1,1,395000
Bairro da Cruz,150,2,1,2,1,1,1,1,1,1,350000
Parque Mondesir,474,3,1,3,1,1,1,1,1,0,750000
Vila Brito,89,2,1,0,1,1,1,1,1,0,220000
Bairro da Cruz,250,3,1,3,1,1,1,1,1,1,550000
Vila Nunes,300,0,3,1,1,1,1,1,1,1,500000
Vila Hepacare,90,4,2,2,1,1,1,1,1,1,480000
Vila Nunes,196,3,2,2,1,1,1,1,1,1,450000
Jardim Novo Horizonte,16100,0,0,0,1,1,1,1,1,0,899000
Nova Lorena,142,2,2,2,1,1,1,1,1,1,600000
Loteamento Village das Palmeiras,703,0,0,0,1,1,1,1,1,1,820000
Bairro da Cruz,65,2,1,1,1,1,1,1,1,1,320000
Vila Passos,58,2,1,1,1,1,1,1,1,1,270000
Cidade Industrial,210,3,2,4,1,1,1,1,1,1,490000
Bairro da Cruz,230,2,1,2,1,1,1,1,1,1,920000
Bairro da Cruz,124,3,3,2,1,1,1,1,1,1,1150000
Vila Santa Edwiges,420,0,2,0,1,1,1,1,1,1,550000
Bairro da Cruz,250,0,2,0,1,1,1,1,1,1,400000
Vila Brito,360,1,1,1,1,1,1,1,1,0,280000
Bairro da Cruz,161,3,1,0,1,1,1,1,1,1,395000
Bairro da Cruz,71,3,2,0,1,1,1,1,1,1,300000
Vila Portugal,400,3,2,12,0,0,0,0,1,0,980000
Cabelinha,170,3,3,1,1,1,1,1,1,1,590000
Vila Hepacare,282,4,3,1,1,1,1,1,1,1,890000
Centro,250,2,3,10,1,1,1,1,1,1,750000
Portal das Palmeiras,60,2,1,2,1,1,1,1,1,0,290000
Bairro da Cruz,221,3,3,4,1,1,1,1,1,1,1000000
Nova Lorena,170,3,1,2,1,1,1,1,1,1,850000
Área Rural de Lorena,12000,4,1,0,0,0,0,0,0,0,980000
Parque Mondesir,180,3,2,2,1,1,1,1,1,0,650000
Centro,750,0,0,0,1,1,1,1,1,1,370000
Bairro da Cruz,150,0,1,0,1,1,1,1,1,1,550000
Olaria,302,4,5,4,1,1,1,1,1,1,890000
Cidade Industrial,210,2,2,2,1,1,1,1,1,1,420000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Centro,169400,0,0,0,1,1,1,1,1,1,900000
Centro,1500,0,0,0,1,1,1,1,1,1,795000
Loteamento Village das Palmeiras,194,3,3,1,1,1,1,1,1,1,629600
Vila Passos,507,0,0,0,1,1,1,1,1,1,360000
Cidade Industrial,100,3,2,3,1,1,1,1,1,1,460000
Cidade Industrial,280,2,3,4,1,1,1,1,1,1,730000
Bairro da Cruz,288,3,2,0,1,1,1,1,1,1,480000
Loteamento Village das Palmeiras,194,3,3,1,1,1,1,1,1,1,629600
Vila Passos,507,0,0,0,1,1,1,1,1,1,360000
Cidade Industrial,100,3,2,3,1,1,1,1,1,1,460000
Cidade Industrial,280,2,3,4,1,1,1,1,1,1,730000
Bairro da Cruz,288,3,2,0,1,1,1,1,1,1,480000
Centro,91000,0,0,0,1,1,1,1,1,1,585000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,700000
Parque Mondesir,85,2,2,1,1,1,1,1,1,0,350000
Centro,4000,4,1,0,1,1,1,1,1,1,430000
Vila Nunes,84,3,2,3,1,1,1,1,1,1,530000
Bairro da Cruz,1219,0,0,0,1,1,1,1,1,1,650000
Loteamento Village das Palmeiras,275,3,3,4,1,1,1,1,1,1,1100000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Bairro da Cruz,1265,0,0,0,1,1,1,1,1,1,700000
Bairro da Cruz,120,3,1,0,1,1,1,1,1,1,550000
Jardim Margarida,482,0,8,3,1,1,1,1,1,1,1350000
Centro,19,1,1,0,1,1,1,1,1,1,5652000
Cidade Industrial,138,3,1,2,1,1,1,1,1,1,420000
Centro,21000,3,2,0,1,1,1,1,1,1,600000
Loteamento Village das Palmeiras,153,3,2,2,1,1,1,1,1,1,961200
Centro,130,3,4,2,1,1,1,1,1,1,435000
Parque Mondesir,432,0,0,0,1,1,1,1,1,0,320000
Bairro da Cruz,936,0,0,0,1,1,1,1,1,1,950000
Cidade Industrial,110,2,2,2,1,1,1,1,1,1,360000
Centro,353,0,0,0,1,1,1,1,1,1,375000
Loteamento Village das Palmeiras,144,3,3,2,1,1,1,1,1,1,849000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Loteamento Village das Palmeiras,153,3,3,2,1,1,1,1,1,1,960000
Parque Mondesir,650,0,0,0,1,1,1,1,1,0,450000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,16000,0,0,0,1,1,1,1,1,1,950000
Centro,378,4,1,6,1,1,1,1,1,1,1300000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Bairro da Cruz,2189,2,2,0,1,1,1,1,1,1,845000
Bairro da Cruz,130,3,2,1,1,1,1,1,1,1,700000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Cidade Industrial,63,2,1,1,1,1,1,1,1,1,200000
Olaria,160,3,4,2,1,1,1,1,1,1,1100000
Parque Mondesir,552,3,4,3,1,1,1,1,1,0,799000
Cecap,88,4,3,2,1,0,1,1,1,0,600000
Bairro da Cruz,5712,5,0,5,1,1,1,1,1,1,1800000
Vila Nunes,550000,0,0,0,1,1,1,1,1,1,25000000
Centro,203,2,1,4,1,1,1,1,1,1,500000
Bairro da Cruz,350,3,1,3,1,1,1,1,1,1,890000
Vila Hepacare,53,2,1,1,1,1,1,1,1,1,320000
Bairro da Cruz,750,5,2,6,1,1,1,1,1,1,2500000
Vila São Roque,57,1,1,4,1,1,1,1,1,1,455000
Bairro da Cruz,125,3,3,3,1,1,1,1,1,1,980000
Bairro da Cruz,750,3,1,3,1,1,1,1,1,1,1200000
Bairro da Cruz,210,4,2,2,1,1,1,1,1,1,680000
Aterrado,5000,4,4,10,1,0,1,1,1,1,1199000
Loteamento Village das Palmeiras,150,4,1,2,1,1,1,1,1,1,800000
Nova Lorena,142,2,1,4,1,1,1,1,1,1,480000
Bairro da Cruz,267,4,4,4,1,1,1,1,1,1,1200000
Parque Mondesir,294,2,2,7,1,1,1,1,1,0,899000
Olaria,150,3,2,4,1,1,1,1,1,1,630000
Vila Passos,280,2,2,1,1,1,1,1,1,1,650000
Nova Lorena,244,4,1,3,1,1,1,1,1,1,845000
Centro,314600,0,0,0,1,1,1,1,1,1,950000
Cabelinha,290,6,4,1,1,1,1,1,1,1,780000
Loteamento Village das Palmeiras,153,3,3,2,1,1,1,1,1,1,960000
Cabelinha,150,3,2,1,1,1,1,1,1,1,550000
Bairro da Cruz,280,0,0,0,1,1,1,1,1,1,450000
Centro,330,3,1,0,1,1,1,1,1,1,499000
Centro,210,3,1,4,1,1,1,1,1,1,950000
Centro,1200,0,0,0,1,1,1,1,1,1,2550000
Bairro da Cruz,26000,0,0,0,1,1,1,1,1,1,800000
Bairro da Cruz,360,0,0,0,1,1,1,1,1,1,474000
Santo Antônio,48,2,1,1,1,0,1,1,1,1,216000
Parque das Rodovias,75,2,1,2,1,1,1,1,1,0,330000
Centro,2500,3,1,0,1,1,1,1,1,1,990000
Bairro da Cruz,315,2,1,0,1,1,1,1,1,1,680000
Centro,8000,3,1,0,1,1,1,1,1,1,1000000
Bairro da Cruz,372,0,2,1,1,1,1,1,1,1,700000
Aterrado,10000,0,0,0,1,0,1,1,1,1,2500000
Bairro da Cruz,200,4,3,1,1,1,1,1,1,1,599000
Bairro da Cruz,750,0,0,0,1,1,1,1,1,1,1690000
Bairro da Cruz,258,3,3,1,1,1,1,1,1,1,680000
Vila Geny,196,4,4,2,1,1,1,1,1,1,600000
Bairro da Cruz,150,2,2,2,1,1,1,1,1,1,610000
Cidade Industrial,210,2,2,2,1,1,1,1,1,1,800000
Ponte Nova,300,3,2,4,1,0,1,0,1,0,870000
Cidade Industrial,2754,0,0,0,1,1,1,1,1,1,800000
Bairro da Cruz,380000,0,0,0,1,1,1,1,1,1,17100000
Vila Brito,800,0,0,0,1,1,1,1,1,0,14820000
Centro,1000,3,1,0,1,1,1,1,1,1,210000
Parque Mondesir,203,3,1,3,1,1,1,1,1,0,850000
Bairro da Cruz,100,3,4,2,1,1,1,1,1,1,980000
Bairro da Cruz,125,3,4,2,1,1,1,1,1,1,1150000
Cidade Industrial,63,2,1,1,1,1,1,1,1,1,200000
Área Rural de Lorena,720600,0,0,0,0,0,0,0,0,0,3000000
Centro,3207,0,0,0,1,1,1,1,1,1,1150000
Bairro da Cruz,211,2,3,2,1,1,1,1,1,1,950000
Parque Mondesir,280,3,3,3,1,1,1,1,1,0,750000
Bairro da Cruz,1500,0,0,0,1,1,1,1,1,1,2800000
Bairro da Cruz,359,5,2,0,1,1,1,1,1,1,320000
Centro,280,4,4,4,1,1,1,1,1,1,889000
Vila Passos,420,0,0,0,1,1,1,1,1,1,3000000
Bairro da Cruz,750,4,5,3,1,1,1,1,1,1,1200000
Vila Hepacare,450,0,0,0,1,1,1,1,1,1,1060000
Centro,235,4,3,1,1,1,1,1,1,1,405000
Cidade Industrial,194,3,3,3,1,1,1,1,1,1,650000
Centro,363000,3,3,0,1,1,1,1,1,1,1500000
Vila Santa Edwiges,211,3,2,7,1,1,1,1,1,1,700000
Centro,3750,0,0,0,1,1,1,1,1,1,135000
Centro,235,4,3,1,1,1,1,1,1,1,405000
Cidade Industrial,194,3,3,3,1,1,1,1,1,1,650000
Centro,363000,3,3,0,1,1,1,1,1,1,1500000
Vila Santa Edwiges,211,3,2,7,1,1,1,1,1,1,700000
Centro,3750,0,0,0,1,1,1,1,1,1,135000
Bairro da Cruz,750,7,4,10,1,1,1,1,1,1,750000
Nova Lorena,482,0,8,2,1,1,1,1,1,1,1350000
Centro,259,3,2,0,1,1,1,1,1,1,18000000
Centro,133100,0,0,0,1,1,1,1,1,1,795000
Bairro da Cruz,150,2,2,2,1,1,1,1,1,1,610000
Bairro da Cruz,84700,2,2,0,1,1,1,1,1,1,400000
Aterrado,10000,0,0,0,1,0,1,1,1,1,2500000
Vila Portugal,16240,4,2,1,0,0,0,0,1,0,2800000
Vila Hepacare,242,2,1,0,1,1,1,1,1,1,650000
Centro,193600,2,1,0,1,1,1,1,1,1,850000
Centro,115,3,2,1,1,1,1,1,1,1,480000
Centro,3000,0,0,0,1,1,1,1,1,1,14700000
Ponte Nova,1452000,4,4,0,1,0,1,0,1,0,4200000
Santo Antônio,4049,0,0,0,1,0,1,1,1,1,6600000
Bairro da Cruz,999944,0,0,0,1,1,1,1,1,1,78000000
Cidade Industrial,90,3,1,0,1,1,1,1,1,1,465000
Olaria,130,3,1,4,1,1,1,1,1,1,650000
Vila Nunes,350,3,3,3,1,1,1,1,1,1,1350000
Cidade Industrial,133,2,1,2,1,1,1,1,1,1,550000
Centro,1452000,0,0,0,1,1,1,1,1,1,4800000
Área Rural de Lorena,140000,6,1,0,0,0,0,0,0,0,1800000
Santo Antônio,4049,0,0,0,1,0,1,1,1,1,6600000
Vila Geny,147,2,1,3,1,1,1,1,1,1,680000
Loteamento Village das Palmeiras,184,3,3,3,1,1,1,1,1,1,1220000
Bairro da Cruz,3200,0,0,0,1,1,1,1,1,1,1500000
Centro,4138,0,0,80,1,1,1,1,1,1,12000000
Centro,120,0,0,0,1,1,1,1,1,1,46000000
Centro,627600,4,6,10,1,1,1,1,1,1,14700000
Bairro da Cruz,5460,0,0,0,1,1,1,1,1,1,3000000
Área Rural de Lorena,1000,0,0,0,0,0,0,0,0,0,23000000
Bairro da Cruz,124,3,1,2,1,1,1,1,1,1,1350000
Vila Portugal,2,0,0,0,0,0,0,0,1,0,360000
Bairro da Cruz,7500,0,0,0,1,1,1,1,1,1,1300000
Bairro da Cruz,210,2,1,0,1,1,1,1,1,1,400000
Centro,214,4,2,3,1,1,1,1,1,1,625000
Jardim Margarida,330,3,2,1,1,1,1,1,1,1,900000
Aterrado,10000,0,0,0,1,0,1,1,1,1,2500000
Bairro da Cruz,124,3,3,2,1,1,1,1,1,1,1150000
Cidade Industrial,210,2,4,2,1,1,1,1,1,1,425000
Área Rural de Lorena,290400,1,0,0,0,0,0,0,0,0,1900000
Bairro da Cruz,180,0,1,0,1,1,1,1,1,1,1350000
Centro,1289,5,5,8,1,1,1,1,1,1,2200000
Centro,91,2,2,0,1,1,1,1,1,1,450000
Bairro da Cruz,900,4,3,10,1,1,1,1,1,1,1600000
Parque Mondesir,97,2,2,1,1,1,1,1,1,0,425000
Aterrado,300000,0,0,0,1,0,1,1,1,1,24000000
Vila Hepacare,142,2,1,1,1,1,1,1,1,1,450000
Centro,196000,0,0,10,1,1,1,1,1,1,4880000
Bairro da Cruz,324,2,1,0,1,1,1,1,1,1,980000
Santo Antônio,4049,0,0,0,1,0,1,1,1,1,6600000
Bairro da Cruz,330,3,1,0,1,1,1,1,1,1,900000
Ponte Nova,5808000,0,0,0,1,0,1,0,1,0,10000000
Vila Santa Edwiges,128,1,2,0,1,1,1,1,1,1,265000
