bairro,area,quartos,banheiros,vagas,hospital,gas_station,school,supermarket,restaurant,pharmacy,preco
Vila Passos,70,2,1,1,1,1,1,1,1,1,260000
Cidade Industrial,137,3,1,2,1,1,1,1,1,1,300000
Santo Antônio,142,3,1,3,1,0,1,1,1,1,370000
Loteamento Jardim Primavera,55,2,1,1,0,0,1,1,1,1,180000
Vila Geny,72,2,1,2,1,1,1,1,1,1,320000
Loteamento Jardim Primavera,55,2,1,1,0,0,1,1,1,1,180000
Bairro da Cruz,73,2,2,1,1,1,1,1,1,1,499000
Nova Lorena,87,2,1,2,1,1,1,1,1,1,320000
Parque das Rodovias,55,2,1,2,1,1,1,1,1,0,270000
Vila Nunes,121,2,1,2,1,1,1,1,1,1,340000
Cidade Industrial,59,2,1,2,1,1,1,1,1,1,235000
Cidade Industrial,130,3,3,2,1,1,1,1,1,1,400000
Vila Geny,100,3,2,2,1,1,1,1,1,1,300000
Cidade Industrial,164,3,2,3,1,1,1,1,1,1,420000
Cidade Industrial,125,2,2,2,1,1,1,1,1,1,470000
Bairro da Cruz,62,2,1,1,1,1,1,1,1,1,187000
Loteamento Jardim Primavera,10,2,1,2,0,0,1,1,1,1,250000
Centro,55,2,1,1,1,1,1,1,1,1,220000
Bairro da Cruz,70,2,2,1,1,1,1,1,1,1,320000
Vila dos Comerciários I,141,3,2,1,1,0,1,1,1,0,300000
Bairro da Cruz,73,2,2,0,1,1,1,1,1,1,429000
Olaria,55,2,1,1,1,1,1,1,1,1,240000
Vila Passos,100,2,1,2,1,1,1,1,1,1,280000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,269000
Cidade Industrial,84,2,1,1,1,1,1,1,1,1,250000
Vila Santa Edwiges,147,2,1,2,1,1,1,1,1,1,350000
Cidade Industrial,180,2,1,2,1,1,1,1,1,1,430000
Residencial Vila Rica,157,2,1,2,1,0,1,1,1,1,345000
Olaria,75,2,1,2,1,1,1,1,1,1,320000
Santo Antônio,153,3,2,2,1,0,1,1,1,1,550000
Centro,250,3,2,1,1,1,1,1,1,1,349000
Bairro da Cruz,150,0,0,0,1,1,1,1,1,1,180000
Residencial Vila Rica,70,2,1,2,1,0,1,1,1,1,280000
Vila São Roque,116,2,2,1,1,1,1,1,1,1,300000
Vila Nunes,142,2,2,1,1,1,1,1,1,1,395000
Nova Lorena,126,0,0,0,1,1,1,1,1,1,140000
Cidade Industrial,210,0,0,0,1,1,1,1,1,1,180000
Vila Nunes,69,2,1,1,1,1,1,1,1,1,269000
Residencial Vila Rica,40,1,1,1,1,0,1,1,1,1,250000
Vila Passos,196,3,3,2,1,1,1,1,1,1,500000
Vila Passos,61,2,1,2,1,1,1,1,1,1,295000
Centro,96,2,2,1,1,1,1,1,1,1,300000
Loteamento Village das Palmeiras,352,0,0,0,1,1,1,1,1,1,300000
Centro,231,2,1,2,1,1,1,1,1,1,350000
Parque Mondesir,139,2,2,0,1,1,1,1,1,0,318000
Loteamento Village das Palmeiras,71,2,2,2,1,1,1,1,1,1,390000
Loteamento Village das Palmeiras,75,2,1,2,1,1,1,1,1,1,395000
Vila Hepacare,90,3,1,2,1,1,1,1,1,1,465000
Vila Santa Edwiges,70,2,2,0,1,1,1,1,1,1,234000
Vila Passos,85,2,1,2,1,1,1,1,1,1,300000
Vila Geny,142,2,2,0,1,1,1,1,1,1,375000
Vila Nunes,300,3,2,3,1,1,1,1,1,1,350000
Bairro da Cruz,70,2,2,1,1,1,1,1,1,1,420000
Vila Nunes,183,3,2,3,1,1,1,1,1,1,430000
Vila Nunes,175,3,3,2,1,1,1,1,1,1,450000
Bairro da Cruz,150,2,2,2,1,1,1,1,1,1,260000
Bairro da Cruz,70,2,1,2,1,1,1,1,1,1,350000
Vila Geny,83,2,3,1,1,1,1,1,1,1,560000
Nova Lorena,142,2,2,2,1,1,1,1,1,1,600000
Cidade Industrial,57,2,1,1,1,1,1,1,1,1,290570
Vila Geny,280,3,1,2,1,1,1,1,1,1,380000
Centro,229,3,1,2,1,1,1,1,1,1,585000
Vila Nunes,190,3,1,3,1,1,1,1,1,1,399000
Cidade Industrial,118,2,1,2,1,1,1,1,1,1,299000
Olaria,175,0,0,0,1,1,1,1,1,1,200000
Cecap,180,0,0,0,1,0,1,1,1,0,240000
Centro,180,0,0,0,1,1,1,1,1,1,110000
Centro,197,0,0,0,1,1,1,1,1,1,130000
Vila Hepacare,82,2,1,1,1,1,1,1,1,1,243000
Vila Geny,150,3,1,3,1,1,1,1,1,1,510000
Vila Hepacare,103,3,1,2,1,1,1,1,1,1,290000
Vila Nunes,300,3,2,3,1,1,1,1,1,1,410000
Centro,232,0,0,0,1,1,1,1,1,1,140000
Bairro da Cruz,260,0,0,0,1,1,1,1,1,1,280000
Cidade Industrial,64,2,1,1,1,1,1,1,1,1,320000
Bairro da Cruz,120,3,2,2,1,1,1,1,1,1,500000
Olaria,227,2,2,1,1,1,1,1,1,1,350000
Centro,130,3,1,2,1,1,1,1,1,1,590000
Cidade Industrial,91,2,2,0,1,1,1,1,1,1,450000
Bairro da Cruz,153,0,0,0,1,1,1,1,1,1,145000
Centro,130,3,1,2,1,1,1,1,1,1,590000
Cidade Industrial,91,2,2,0,1,1,1,1,1,1,450000
Bairro da Cruz,153,0,0,0,1,1,1,1,1,1,145000
Bairro da Cruz,135,0,0,0,1,1,1,1,1,1,212000
Parque Mondesir,130,3,2,1,1,1,1,1,1,0,350000
Bairro da Cruz,183,2,1,3,1,1,1,1,1,1,250000
Vila Nunes,97,3,1,3,1,1,1,1,1,1,370000
Cidade Industrial,105,3,1,2,1,1,1,1,1,1,400000
Vila Passos,70,2,2,1,1,1,1,1,1,1,240000
Vila Nunes,235,3,3,2,1,1,1,1,1,1,330000
Bairro da Cruz,140,3,3,3,1,1,1,1,1,1,550000
Cidade Industrial,175,2,1,1,1,1,1,1,1,1,355000
Centro,125,3,2,0,1,1,1,1,1,1,280000
Vila São Roque,10,3,1,1,1,1,1,1,1,1,330000
Cidade Industrial,57,2,1,1,1,1,1,1,1,1,295530
Loteamento Jardim Primavera,147,2,2,0,0,0,1,1,1,1,165000
Cidade Industrial,176,2,1,2,1,1,1,1,1,1,450000
